year,site,plant,seeds
1998,1,666,10
1998,1,375,18
1998,1,106,9
1998,1,688,12
1998,1,398,14
1998,1,691,11
1998,1,186,9
1998,1,395,14
1998,1,1993,0
1998,29,187,0
1998,29,8,0
1998,29,6,6
1998,29,397,8
1998,29,382,15
1998,29,3,15
1998,29,186,13
1998,29,385,0
1998,29,381,12
1998,29,384,17
1998,29,773,22
1998,29,329,12
1998,29,325,14
1998,29,322,13
1998,29,319,11
1998,29,795,17
1998,29,768,18
1998,29,797,5
1998,29,732,18
1998,29,720,12
1998,42,112,10
1998,42,113,7
1998,42,115,20
1998,42,678,1
1998,42,101,15
1998,42,1717,15
1998,42,154,11
1998,42,123,1
1998,42,715,11
1998,50,1505,0
1998,50,358,17
1998,50,1519,11
1998,50,548,9
1998,50,1503,0
1998,50,891,4
1998,50,189,16
1998,50,378,9
1998,50,1517,3
1998,50,326,13
1998,50,376,9
1998,50,1526,0
1998,50,554,9
1998,50,1524,6
1998,50,379,0
1998,50,1513,0
1998,50,380,13
1998,50,534,14
1998,50,567,0
1998,50,394,10
1998,50,542,7
1998,50,1511,11
1998,50,1576,20
1998,50,377,3
1998,50,1522,17
1998,50,1521,11
1998,50,1508,10
1998,50,393,7
1998,50,1518,2
1998,50,552,1
1998,50,566,6
1998,50,547,11
1998,50,531,13
1998,50,533,11
1998,50,557,12
1998,50,375,7
1998,50,391,14
1998,50,387,10
1998,57,719,3
1998,57,422,14
1998,57,721,15
1998,57,729,12
1998,57,724,12
1998,57,731,6
1998,57,725,11
1998,57,456,9
1998,57,457,8
1998,57,451,16
1998,57,413,0
1998,57,727,15
1998,57,412,13
1998,57,448,12
1998,59,878,11
1998,59,319,13
1998,59,345,11
1998,59,334,22
1998,59,330,12
1998,59,758,4
1998,59,873,13
1998,59,1715,20
1998,59,304,6
1998,59,380,12
1998,59,885,10
1998,62,1978,18
1998,62,1979,10
1998,62,414,11
1998,62,1977,3
1998,62,406,15
1998,62,1969,15
1998,62,433,12
1998,62,412,9
1998,62,440,18
1998,62,23,0
1998,62,19,4
1998,62,416,15
1998,62,415,17
1998,62,1970,20
1998,67,1858,7
1998,67,830,19
1998,67,829,18
1998,67,486,17
1998,67,1806,21
1998,67,483,8
1998,67,484,9
1998,67,482,0
1998,87,970,17
1998,87,957,1
1998,87,964,21
1998,87,954,15
1998,87,943,10
1998,87,870,20
1998,87,984,2
1998,87,869,16
1998,87,862,8
1998,87,860,10
1998,87,951,0
1998,87,919,10
1998,87,937,19
1998,87,947,0
1998,87,965,18
1998,88,320,8
1998,88,319,0
1998,88,761,7
1998,91,136,7
1998,91,120,14
1998,91,116,10
1998,91,119,12
1998,91,140,10
1998,91,401,11
1998,91,142,14
1998,91,107,11
1998,91,427,17
1998,91,764,13
1998,91,464,12
1998,91,139,9
1998,91,804,11
1998,91,779,8
1998,91,478,15
1998,91,428,12
1998,91,406,18
1998,91,135,15
1998,91,106,14
1998,91,771,10
1998,93,722,17
1998,93,1955,19
1998,93,714,15
1998,93,1945,2
1998,93,1941,12
1998,93,1919,0
1998,93,735,0
1998,93,711,7
1998,93,77,7
1998,93,1929,11
1998,93,715,19
1998,93,201,8
1998,93,223,6
1998,93,195,2
1998,93,1922,12
1998,93,213,7
1998,93,224,14
1998,93,1908,8
1998,93,194,6
1998,93,1926,16
2014,29,18,19
2014,29,18,23
2014,29,18,13
2014,29,18,19
2014,29,18,18
2014,29,18,10
2014,29,19,14
2014,29,19,0
2014,29,19,12
2014,29,19,18
2014,29,19,12
2014,29,19,15
2014,29,20,10
2014,29,20,14
2014,29,20,15
2014,29,20,21
2014,29,23,8
2014,29,23,4
2014,29,23,5
2014,29,23,5
2014,29,23,5
2014,29,25,0
2014,29,25,0
2014,29,25,0
2014,29,21,18
2014,29,21,18
2014,29,21,16
2014,29,21,18
2014,29,37,18
2014,29,37,16
2014,29,37,19
2014,29,37,11
2014,29,37,13
