TILL122	HT122	TILL155	HT155	TILL187	HT187	TILL222	HT222	TILL264	HT264	TILL332	HT332	TILL412	HT412	Tiller_Number	Tiller	id
4	9.8	5	14.6	9	20.6	12	24	30	30.9	40	35.1	63	35.6	1	22.1	147
1	0.5	3	12.3	6	20.7	9	23.7	18	29.7	36	35.2	40	36.8	20	22	148
3	7.2	4	16.8	7	21	NA	NA	33	37.4	51	37.6	56	29.5	19	21.8	149
3	5.7	3	16.4	6	21.2	12	24.2	24	29.7	42	31.6	48	31.5	21	21.7	150
3	6.2	3	14.6	7	21.2	11	27	27	30	47	30	42	26.6	1	21.7	151
3	5.7	3	13.9	7	21.3	10	23.5	25	31.4	39	35	50	34.6	5	21.5	152
3	9.4	3	17.5	7	21.4	10	28	21	37.4	28	37.5	41	33.8	14	21.4	153
3	8.2	3	16	5	21.5	8	27.4	20	29.2	33	31.8	34	32.5	4	21.4	154
5	6.2	5	13.9	8	21.7	11	21.7	35	22	39	23.3	36	23.6	24	21.2	155
3	6.4	5	14.4	12	21.7	13	22.7	37	23.2	58	24.9	76	25.3	1	21.2	156
3	6.7	4	16.5	8	21.7	9	25.8	23	26.7	39	31.8	49	28.2	34	21	157
3	6.5	4	16.2	6	21.7	9	29.5	21	38.9	38	38.9	38	36.2	19	21	158
2	9.4	2	12	4	21.8	4	21.8	12	30.1	22	34.2	25	29.4	4	21	159
4	8.4	3	15	6	21.9	10	26.6	28	28.1	38	30.3	51	29	16	20.9	160
2	6.4	3	15.2	7	22	10	31.9	18	32.3	34	32.6	41	31.3	27	20.8	161
3	5.8	3	13.8	6	22.1	9	24	26	28.6	37	31.8	47	31.1	20	20.6	162
2	5.4	NA	NA	4	22.1	11	25.3	21	36.3	33	38.8	35	38.7	21	20.4	163
3	3.5	4	15.5	9	22.3	14	25.2	33	29.4	63	33.4	72	29.4	4	20.4	164
4	6.7	3	14	6	22.4	10	26.9	30	30.6	37	34.5	45	30.1	1	20.4	165
3	6.8	1	9.6	4	22.4	8	30.4	27	38.1	31	42.9	38	34.8	1	20.4	166
5	6.7	5	17.2	8	22.5	13	25.4	22	26.1	36	32	43	25	1	20.4	167
3	6.8	3	14.7	6	22.5	11	25.6	29	34.5	43	35	52	32.5	21	20.3	168
5	7.2	4	17.5	11	22.6	13	23.1	28	28.6	48	31	58	30	19	20.3	169
3	6.9	3	14.5	3	22.7	7	27.2	11	28.2	16	28.5	14	28.4	7	20.3	170
3	5.5	3	12.2	8	22.7	12	25.6	32	34.8	41	36.3	56	35.7	1	19.9	171
3	6.8	3	14.7	5	23.1	9	28.8	22	25.6	32	38.7	42	36.1	9	19.7	172
4	7.3	4	16.4	7	23.2	9	29.2	26	31.5	34	34.4	36	35	1	19.7	173
4	9.1	4	19	8	23.3	14	27.9	35	31.2	43	36.6	51	34.7	3	19.6	174
3	7.2	4	17.4	8	23.5	12	28	25	29.8	34	31.4	29	27	1	19.6	175
4	9.6	6	17.1	10	23.5	13	28.2	27	36.8	40	41.5	48	41.1	11	19.4	176
3	8.2	3	15.1	9	23.6	11	25.5	22	28.7	41	39.6	48	39.5	24	19.2	177
4	11.1	5	19.6	10	23.7	14	24	29	25.7	46	27.8	52	22.6	6	19.2	178
3	6.3	3	15.1	8	23.8	9	29.2	9	29.2	44	39.3	56	39	28	19.1	179
3	9.6	6	22.4	14	23.9	15	23.9	39	38.4	51	38.4	62	36.2	18	18.7	180
3	7.3	5	15.4	9	24	14	26.5	29	32.3	34	36.9	28	33.3	29	18.5	181
3	7	4	18	7	24	13	31.3	30	39.5	49	42.2	55	36.9	1	18.3	182
3	4.6	3	10.1	7	24.1	14	25.8	23	30.5	40	35.1	56	35.1	1	18.3	183
3	6.6	5	17.7	6	24.3	9	27	24	30.8	36	32.1	43	30.5	9	18.2	184
3	8.3	4	15.4	6	24.3	9	28.7	21	31.1	NA	NA	33	30	2	18	185
3	9.1	3	16.1	8	24.3	11	28.6	21	33.4	32	38.3	41	38.8	18	17.9	186
6	10.5	5	20.4	8	24.4	10	26.9	22	29.6	46	30.8	56	29.2	1	17.9	187
3	7.3	3	16.1	5	24.4	10	31.6	17	39.5	25	41.2	NA	NA	1	17.9	188
3	4.6	3	11.3	5	24.5	13	26.3	26	28.3	48	33.3	70	28.2	1	17.9	189
4	7.2	3	17.1	6	24.5	11	30.2	26	32.4	41	32.4	60	33.4	5	17.7	190
3	5.5	3	16.5	7	24.5	11	27.3	25	37.3	34	42.2	43	41.9	1	17.6	191
6	10.8	6	21.9	9	24.6	12	27.3	25	33.1	42	36.4	41	34.6	18	17.5	192
3	3.3	3	13.9	7	24.6	10	31.5	30	34.8	43	39	52	39.5	3	17.5	193
6	8.1	6	20.4	14	24.6	14	31.2	25	37.4	53	39.8	74	38.9	1	17.5	194
3	7.2	3	15.1	8	24.7	12	25.6	25	25.6	35	26.7	42	23.7	18	17.4	195
5	6.2	8	22	12	24.7	16	25.6	33	32	49	35	52	32.5	5	17.4	196
4	11.1	5	18.8	8	24.7	NA	NA	25	33.8	40	34	38	34.1	29	17	197
3	6.1	2	14.1	4	24.8	4	24.8	7	26.7	9	30.9	NA	NA	19	16.9	198
3	7	4	13.6	10	24.9	11	32	29	30.7	39	33.9	61	32.3	2	16.7	199
1	7.7	4	21.1	8	25.1	9	27.4	27	28.9	36	34.5	36	34.6	18	16.6	200
3	9.5	2	15.4	3	25.1	9	27.5	27	30.2	42	33.4	43	31.5	1	16.4	201
3	6.5	4	15.1	4	25.2	10	28.3	27	31.6	45	36.6	49	36.5	10	16.3	202
5	8.9	5	18.1	10	25.3	12	28.7	33	32.5	36	45	38	44.2	1	16.3	203
3	9.5	4	19.4	5	25.4	10	28.6	30	29	41	31.4	45	29.7	17	16.2	204
4	5	5	12.1	8	25.5	12	31.4	38	36.2	58	39.6	59	33.6	8	16	205
6	7.9	5	21	8	25.6	9	31.3	25	31.4	40	35	54	30.7	19	15.5	206
3	11.5	3	20.6	7	25.6	10	30.5	22	31.6	46	34.5	46	34.3	2	15.5	207
3	9.1	3	18.2	5	25.6	9	29.2	24	32.2	44	40.3	57	40.5	7	15.4	208
3	5.4	3	16.6	3	25.7	9	27.2	9	27.2	29	40.2	30	40.3	3	15.4	209
4	5.9	3	14	8	25.8	10	27.3	11	19.1	38	43.7	49	41.3	1	14.9	210
2	8.3	3	16	6	25.8	8	33.1	19	32.6	32	39.5	38	38	5	14.7	211
3	6.9	4	18.9	9	25.9	13	29.4	30	40.9	39	42.6	43	42.9	3	14.7	212
5	7.3	4	18.1	8	26	9	32.3	23	32.4	38	39.1	52	35.8	13	14.6	213
3	8	4	18	7	26	8	28.5	19	33.5	26	36.6	31	37.6	7	14.5	214
3	8.4	3	18	7	26.1	8	26.2	24	34	36	43.1	40	43	4	14.3	215
4	8.9	6	18.4	9	26.2	9	26.5	25	27.6	38	32.4	37	27.3	1	14	216
3	9.5	5	20.3	8	26.2	9	30	21	32.2	39	35.6	40	34.5	14	13.7	217
3	8.2	3	19.8	6	26.2	9	28.5	23	34.4	NA	NA	NA	NA	3	13.5	218
3	8.2	5	22.2	9	26.6	12	29.4	31	35.9	39	41.2	48	41.2	5	13.4	219
4	10.3	4	21.2	8	26.6	10	30.6	23	36.3	40	42.2	41	40.5	1	13	220
4	8.8	4	19.8	7	26.6	11	33.7	23	36.4	43	43.6	44	42.4	11	12.9	221
4	8.1	4	22.8	7	26.8	8	27.6	23	36.5	31	37.9	NA	NA	3	12.6	222
2	3.4	3	14.9	8	26.9	12	29.9	24	33.8	44	34.6	44	31	1	12.6	223
3	8.5	4	17	7	26.9	10	28.7	23	34.7	33	35.3	33	35.1	1	12.5	224
6	9.4	5	21.9	10	26.9	15	29.8	22	36	46	40.6	48	37.3	8	12.1	225
8	10.7	7	27	10	27	12	27.5	31	36	45	40	50	32.3	1	11.8	226
3	10.4	3	20.3	5	27.1	8	30.4	20	30.8	39	33.9	44	29.2	5	11.7	227
3	6.2	5	17.6	9	27.1	10	32	27	35.1	41	35.7	49	34.8	1	11.5	228
3	7.9	4	22.3	8	27.1	8	33.3	24	39	41	47.1	55	47	9	11.4	229
6	8.1	5	20.5	7	27.2	11	30.7	31	32.4	55	41.8	62	41.4	3	10.4	230
3	8.4	4	16.6	11	27.2	16	35.1	39	35.7	67	38.7	67	38.9	2	10.4	231
6	8	4	19.5	6	27.2	9	36.2	20	37.5	33	40.3	34	29.3	1	10.1	232
5	10	5	20.8	9	27.2	12	32.3	26	38.8	46	39.4	47	30	1	9.6	233
6	7.5	4	19.9	7	27.4	9	31.8	20	33.1	32	35.2	33	33.6	1	9	234
3	5.1	3	21.5	7	27.4	13	31.2	29	36.6	44	38.9	NA	NA	10	7.3	235
3	12.4	6	23.3	8	27.5	10	32.2	31	34.3	45	40.6	48	35.1	4	7.2	236
4	9	7	22.3	10	27.5	11	27.6	21	35.9	39	38.6	49	37.6	1	7.1	237
NA	NA	NA	NA	3	27.5	6	35.8	13	38.6	17	45.4	25	45.4	1	6.7	238
3	11.2	3	17.5	7	27.6	10	31.6	20	34.3	25	35.4	28	36.2	3	6.4	239
3	10.1	6	23.6	9	27.6	9	32	20	36.2	37	35.6	39	36.1	3	6	240
5	10.5	8	24.7	12	27.6	13	30.8	34	38.2	50	42.9	77	42.2	1	5.8	241
3	6.8	4	20.8	6	27.8	11	30.8	23	31.7	36	31.7	45	30.3	11	5.5	242
4	6.2	4	20.6	8	27.8	9	31.2	21	34.1	37	35	47	34.8	1	5.5	243
3	8	3	18.1	8	28.2	9	30.3	26	34	35	38.1	42	37.7	1	5.3	244
5	9.7	6	21.5	8	28.2	9	36.4	24	37.2	35	37.5	46	33.9	1	5.2	245
6	7.1	4	19.3	8	28.4	10	29.8	23	34.6	34	42.8	38	42.6	1	3.2	246
3	7.7	5	21.2	9	28.5	18	31	27	38.1	51	38.1	62	35.1	NA	NA	247
3	7.5	3	16.9	8	28.6	11	28.3	22	34.5	37	39.3	47	39.8	NA	NA	248
5	7.6	7	25	11	28.6	11	33.3	30	37.8	NA	NA	61	37	NA	NA	249
6	7.7	4	17.2	8	28.7	13	34.6	27	39.9	41	41.9	46	43.8	NA	NA	250
3	10.6	3	19.9	8	28.8	10	29.5	28	36.2	42	37.4	67	36.8	NA	NA	251
4	8.3	4	21.8	6	28.9	8	32.2	21	33.9	34	33.9	37	27	NA	NA	252
3	6.2	4	20.1	6	29	11	29	23	31	31	34.1	42	33.3	NA	NA	253
3	7.7	5	22.3	9	29	11	32.5	28	34.7	36	42.8	47	39.6	NA	NA	254
4	10.7	4	24.3	5	29	9	19.4	20	36.9	33	38.2	33	37.8	NA	NA	255
7	9.2	6	24	8	29	10	29.6	27	37.3	40	41.9	41	40.7	NA	NA	256
3	7.7	3	19	7	29.1	11	29.1	32	29.8	49	30.6	60	30	NA	NA	257
4	9.6	7	22.9	9	29.2	11	30.5	29	38.1	42	42.2	45	41.6	NA	NA	258
4	12.7	6	28.1	9	29.2	10	34.7	34	46.3	50	46.9	58	43.7	NA	NA	259
3	9.7	3	25.4	10	29.3	10	29.7	23	30.4	36	39.5	NA	NA	NA	NA	260
4	8.4	5	20	10	29.4	14	29.4	25	28.4	35	32	45	30.4	NA	NA	261
3	5.5	4	21.5	8	29.5	9	35.1	16	37	17	37.3	16	31.3	NA	NA	262
4	10.3	4	22.4	7	29.5	10	35.4	18	39.5	32	47.1	40	46.9	NA	NA	263
3	8.3	3	18.8	5	29.6	9	32.4	19	33.6	28	36.8	31	36.7	NA	NA	264
3	6.1	4	18.6	10	29.7	10	44.2	23	50.1	41	50.2	65	34.4	NA	NA	265
5	9.3	5	22.3	8	29.8	9	35.4	21	37.3	41	42	47	43.5	NA	NA	266
5	13.4	6	21.6	9	29.9	11	33.8	27	39.2	44	45.3	49	46.1	NA	NA	267
4	8.5	4	20	9	30	11	32.1	24	32.4	39	35.7	35	35.1	NA	NA	268
3	10.5	3	20.5	6	30.1	8	37.2	20	43.6	35	51.4	42	50.3	NA	NA	269
5	12.3	5	24.9	7	30.2	8	32.8	35	33.6	38	35.4	45	34.1	NA	NA	270
3	11.2	3	19.1	5	30.3	9	30.5	17	31.3	23	41.7	31	42.8	NA	NA	271
4	12.9	4	28.2	5	30.3	6	34.1	18	40.3	NA	NA	33	42.7	NA	NA	272
6	8.1	6	25.5	10	30.9	14	37	35	49.4	49	56.6	61	59.1	NA	NA	273
5	10	6	20.5	9	31	12	34	12	34	51	40.4	52	36.4	NA	NA	274
4	12.3	5	25.5	NA	NA	10	40.1	24	42.8	42	43.7	57	37.7	NA	NA	275
4	6.5	4	21.6	9	31.2	12	41	24	48.1	32	50	43	50.1	NA	NA	276
3	12.8	5	22.5	11	31.4	14	34	37	34.1	54	35.2	54	34.3	NA	NA	277
3	8.9	3	22.7	5	31.4	7	40.2	23	41.2	29	42.7	37	43.1	NA	NA	278
6	11.8	6	21.7	8	31.5	13	32.2	19	32.2	23	32.3	16	23	NA	NA	279
3	9.4	4	24.4	8	31.7	9	34.6	28	35.6	42	38.4	42	46.5	NA	NA	280
4	8.2	4	19.2	9	31.7	10	34	28	35.7	46	40.7	60	41.4	NA	NA	281
4	12.8	6	24.2	8	31.8	11	38.8	32	39.5	38	39.7	44	36.5	NA	NA	282
3	10.2	4	21.9	6	31.9	8	33.1	20	34.7	35	42.8	36	41.8	NA	NA	283
4	9	3	19	9	31.9	12	45.4	18	50.8	43	50.8	40	40.8	NA	NA	284
