bald	gap	tag	year	initial	fire_year	ht_init	ht_final	rp_init	rp_final	stage	fate	st_init										
29	1	5042	1994	1994	1985	34	NA	73	NA	me	rip	NA										
29	1	5043	1994	1994	1985	46	NA	280	NA	me	rip	NA										
29	1	5045	1994	1994	1985	35	NA	50	NA	me	rip	NA										
29	1	5048	1994	1994	1985	52	NA	156	NA	la	rip	NA										
29	1	5051	1994	1994	1985	57	NA	500	NA	la	rip	NA										
29	1	5052	1994	1994	1985	46	NA	277	NA	me	rip	NA										
29	1	5053	1994	1994	1985	35	NA	54	NA	me	rip	NA										
29	1	5054	1994	1994	1985	32	NA	40	NA	sm	rip	NA										
29	1	5055	1994	1994	1985	41	NA	223	NA	me	rip	NA										
29	1	5056	1994	1994	1985	18	NA	3	NA	sm	rip	NA										
29	1	5057	1994	1994	1985	24	NA	28	NA	sm	rip	NA										
29	1	5058	1994	1994	1985	20	NA	4	NA	sm	rip	NA										
29	1	5060	1994	1994	1985	40	NA	119	NA	me	rip	NA										
29	1	5061	1994	1994	1985	41	NA	146	NA	me	rip	NA										
29	1	5062	1994	1994	1985	27	NA	35	NA	sm	rip	NA										
29	1	5063	1994	1994	1985	26	NA	66	NA	sm	rip	NA										
29	1	5064	1994	1994	1985	47	NA	258	NA	me	rip	NA										
29	1	5065	1994	1994	1985	4	NA	7	NA	sg	rip	NA										
29	1	5067	1994	1994	1985	27	NA	65	NA	sm	rip	NA										
29	1	5068	1994	1994	1985	34	NA	88	NA	me	rip	NA										
29	1	5069	1994	1994	1985	30	NA	64	NA	sm	rip	NA										
29	1	5078	1994	1994	1985	34	NA	79	NA	me	rip	NA										
29	1	5079	1994	1994	1985	33	NA	90	NA	sm	rip	NA										
29	1	5080	1994	1994	1985	35	NA	109	NA	me	rip	NA										
32	1	161	1994	1994	1967	45	43	289	162	me	me	4										
32	1	162	1994	1994	1967	25	39	12	73	sm	me	1										
32	1	163	1994	1994	1967	55	58	501	174	la	la	5										
32	1	164	1994	1994	1967	2	32	0	24	sg	sm	1										
32	1	165	1994	1994	1967	53	51	445	369	la	la	3										
32	1	166	1994	1994	1967	45	41	233	65	me	me	4										
32	1	167	1994	1994	1967	66	NA	429	NA	la	rip	15										
32	1	168	1994	1994	1967	29	49	2	304	sm	me	1										
32	1	169	1994	1994	1967	31	NA	21	NA	sm	rip	1										
32	1	170	1994	1994	1967	23	NA	1	NA	sm	rip	2										
32	1	171	1994	1994	1967	19	35	0	64	ve	me	2										
32	1	172	1994	1994	1967	44	NA	187	NA	me	rip	5										
32	1	173	1994	1994	1967	33	NA	138	NA	sm	rip	8										
